,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2489,1,23,05,20:30:00,2019,입산자실화,산113,동,진인,대구,23,목요일,05,15:59:00,2019,
2490,0.1,23,05,14:38:00,2019,입산자실화,산250,문래,정선,임계,강원,23,목요일,05,12:37:00,2019
2491,0.1,23,05,12:30:00,2019,쓰레기소각,산130,소로,봉화,춘양,경북,23,목요일,05,10:05:00,2019
2492,0.5,22,05,17:30:00,2019,기타,산2,후,여주,산북,경기,22,수요일,05,14:39:00,2019
2493,0.01,21,05,12:24:00,2019,입산자실화,산179,대전,포항 북,송라,경북,21,화요일,05,11:28:00,2019
2494,0.01,19,05,14:51:00,2019,입산자실화,산192,하시동,강릉,강동,강원,19,일요일,05,14:20:00,2019
2495,0.01,18,05,23:15:00,2019,기타,산127-1,화악,가평,북,경기,18,토요일,05,22:15:00,2019
2496,0.1,18,05,19:40:00,2019,입산자실화,산102-4,대부복,안산 단원,경기,18,토요일,05,15:31:00,2019,
2497,0.04,18,05,15:30:00,2019,기타,1353.0,호매실,수원 권선,경기,18,토요일,05,14:38:00,2019,
2498,0.03,18,05,00:15:00,2019,입산자실화,463-10,물한,안동,북후,경북,17,금요일,05,23:14:00,2019
2499,0.01,17,05,15:00:00,2019,입산자실화,산254-4,중,성안,울산,17,금요일,05,14:01:00,2019,
2500,0.01,17,05,10:00:00,2019,입산자실화,산112-20,용정,남양주,진건,경기,17,금요일,05,09:12:00,2019
2501,0.02,16,05,17:30:00,2019,기타,산1,유천,평창,대관령,강원,16,목요일,05,15:55:00,2019
2502,0.2,16,05,15:42:00,2019,농산부산물소각,산311,세량,화순,화순,전남,16,목요일,05,13:56:00,2019
2503,0.2,15,05,16:00:00,2019,입산자실화,산45,어곡,고령,성산,경북,15,수요일,05,11:20:00,2019
2504,0.01,15,05,09:40:00,2019,입산자실화,산67-25,남양주,금곡,경기,15,수요일,05,08:55:00,2019,
